Untagged-100-words									Tagged-100-words							
micro				macro					micro				macro			
	precision	recall	f1-score		precision	recall	f1-score			precision	recall	f1-score		precision	recall	f1-score
	0.88       0.84       0.86				0.89       0.74       0.80					0.87       0.87       0.87				0.85       0.72       0.78		
	0.91       0.85       0.88				0.91       0.72       0.79					0.86       0.85       0.86				0.83       0.70       0.76		
	0.89       0.85       0.87				0.87       0.72       0.78					0.87       0.87       0.87				0.84       0.73       0.78		
	0.88       0.85       0.87				0.89       0.74       0.81					0.88       0.88       0.88				0.86       0.76       0.80		
	0.89       0.86       0.88				0.90       0.86       0.88					0.88       0.87       0.87				0.86       0.74       0.79		
	0.90       0.86       0.88				0.89       0.76       0.81					0.87       0.87       0.87				0.81       0.79       0.80		
	0.89       0.87       0.88				0.92       0.72       0.80					0.86       0.88       0.87				0.80       0.80       0.80		
	0.89       0.85       0.87				0.89       0.72       0.79					0.87       0.84       0.86				0.85       0.69       0.75		
	0.89       0.85       0.87				0.90       0.72       0.79					0.86       0.90       0.88				0.80       0.84       0.82		
	0.90       0.89       0.90				0.92       0.79       0.84					0.87       0.84       0.85				0.86       0.69       0.75		
